SZLTDEP  Index,,,SZRAFCRC Index,,,SZCPIYOY Index,,,SZPUI    Index,,,SZRSRYOY Index,,
ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN
,,,20230406,742739.99,,20220803,3.4,3.4,20220802,58,56.2,20220901,2.6,
,,,20230505,732204.9,,20220901,3.5,3.4,20220901,56.4,56.5,20220930,3,
,,,20230607,734115.63,,20221003,3.3,3.6,20221003,57.1,54.6,20221031,3.2,
,,,20230707,724637.47,,20221103,3,3.2,20221101,54.9,55.6,20221201,-2.5,
,,,20230807,697598.69,,20221201,3,3,20221201,53.9,54,20230106,-1.3,
,,,20230907,694336.91,,20230104,2.8,3,20230103,54.1,53,20230131,-2.8,
,,,20231006,678447.06,,20230213,3.3,3.1,20230201,49.3,54.2,20230301,-2.2,
,,,20231107,657756.42,,20230306,3.4,3.1,20230301,48.9,50.3,20230331,0.3,
,,,20231207,641731.67,,20230403,2.9,3.2,20230403,47,48.5,20230428,-1.9,
,,,20240109,653741.84,,20230505,2.6,2.8,20230502,45.3,47.3,20230531,-3.7,
,,,20240207,662429.23,,20230605,2.2,2.2,20230601,43.2,44.5,20230630,-1.1,
,,,20240307,677611.78,,20230703,1.7,1.8,20230703,44.9,42.8,20230728,1.8,
,,,20240405,715132.09,,20230803,1.6,1.6,20230802,38.5,44,20230831,-2.2,
,,,,,,20230901,1.6,1.5,20230901,39.9,40.5,20231002,-1.8,
,,,,,,20231003,1.7,1.8,20231002,44.9,40.8,20231031,-0.6,
,,,,,,20231102,1.7,1.7,20231101,40.6,45,20231130,-0.1,
,,,,,,20231204,1.4,1.7,20231201,42.1,42,20240108,0.7,
,,,,,,20240108,1.7,1.6,20240103,43,43,20240131,-0.8,
,,,,,,20240213,1.3,1.7,20240201,43.1,44.5,20240301,0.3,
,,,,,,20240304,1.2,1.1,20240301,44,44.3,20240402,-0.2,
,,,,,,20240404,1,1.3,20240402,45.2,45,20240502,,
